moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
europa,2460446.240128661,A.D. 2024-05-15 17:45:47.12 TDB,2460446.341867619,A.D. 2024-05-15 20:12:17.36 TDB,146.5041,2460446.290998140,6.02951778,50.145970,0.0086,0.0086
europa,2460449.794105158,A.D. 2024-05-19 07:03:30.69 TDB,2460449.895922760,A.D. 2024-05-19 09:30:07.73 TDB,146.6173,2460449.845013958,6.03201157,50.166710,0.0086,0.0086
europa,2460453.348049631,A.D. 2024-05-22 20:21:11.49 TDB,2460453.449907906,A.D. 2024-05-22 22:47:52.04 TDB,146.6759,2460453.398978768,6.03200801,50.166681,0.0086,0.0086
europa,2460456.902177981,A.D. 2024-05-26 09:39:08.18 TDB,2460457.004118748,A.D. 2024-05-26 12:05:55.86 TDB,146.7947,2460456.953148365,6.02951979,50.145987,0.0086,0.0086
europa,2460460.456143312,A.D. 2024-05-29 22:56:50.78 TDB,2460460.558107984,A.D. 2024-05-30 01:23:40.53 TDB,146.8291,2460460.507125648,6.02455643,50.104708,0.0086,0.0086
europa,2460464.010053890,A.D. 2024-06-02 12:14:28.66 TDB,2460464.112090006,A.D. 2024-06-02 14:41:24.58 TDB,146.9320,2460464.061071948,6.01711518,50.042821,0.0086,0.0086
europa,2460467.563838471,A.D. 2024-06-06 01:31:55.64 TDB,2460467.665916801,A.D. 2024-06-06 03:58:55.21 TDB,146.9928,2460467.614877637,6.00720059,49.960364,0.0086,0.0086
europa,2460471.117790964,A.D. 2024-06-09 14:49:37.14 TDB,2460471.219962826,A.D. 2024-06-09 17:16:44.79 TDB,147.1275,2460471.168876895,5.99482770,49.857462,0.0086,0.0086
europa,2460474.671729014,A.D. 2024-06-13 04:07:17.39 TDB,2460474.773941674,A.D. 2024-06-13 06:34:28.56 TDB,147.1862,2460474.722835344,5.98003540,49.734438,0.0086,0.0086
europa,2460478.225636207,A.D. 2024-06-16 17:24:54.97 TDB,2460478.327923017,A.D. 2024-06-16 19:52:12.55 TDB,147.2930,2460478.276779612,5.96286361,49.591624,0.0086,0.0086
europa,2460481.779339704,A.D. 2024-06-20 06:42:14.95 TDB,2460481.881665903,A.D. 2024-06-20 09:09:35.93 TDB,147.3497,2460481.830502803,5.94335959,49.429414,0.0086,0.0086
europa,2460485.333131875,A.D. 2024-06-23 19:59:42.59 TDB,2460485.435554713,A.D. 2024-06-23 22:27:11.93 TDB,147.4889,2460485.384343294,5.92156122,49.248123,0.0086,0.0086
europa,2460488.886946436,A.D. 2024-06-27 09:17:12.17 TDB,2460488.989427469,A.D. 2024-06-27 11:44:46.53 TDB,147.5727,2460488.938186953,5.89750827,49.048081,0.0086,0.0086
europa,2460492.440868572,A.D. 2024-06-30 22:34:51.04 TDB,2460492.543435918,A.D. 2024-07-01 01:02:32.86 TDB,147.6970,2460492.492152245,5.87122723,48.829508,0.0086,0.0086
europa,2460495.994575103,A.D. 2024-07-04 11:52:11.29 TDB,2460496.097186571,A.D. 2024-07-04 14:19:56.92 TDB,147.7605,2460496.045880837,5.84275869,48.592742,0.0086,0.0086
europa,2460499.548273801,A.D. 2024-07-08 01:09:30.86 TDB,2460499.650975729,A.D. 2024-07-08 03:37:24.30 TDB,147.8908,2460499.599624765,5.81214842,48.338164,0.0086,0.0086
europa,2460503.101949355,A.D. 2024-07-11 14:26:48.42 TDB,2460503.204723790,A.D. 2024-07-11 16:54:48.14 TDB,147.9952,2460503.153336572,5.77946791,48.066369,0.0086,0.0086
europa,2460506.655801338,A.D. 2024-07-15 03:44:21.24 TDB,2460506.758675060,A.D. 2024-07-15 06:12:29.53 TDB,148.1382,2460506.707238199,5.74478744,47.777940,0.0086,0.0086
europa,2460510.209577959,A.D. 2024-07-18 17:01:47.54 TDB,2460510.312511953,A.D. 2024-07-18 19:30:01.03 TDB,148.2250,2460510.261044956,5.70819132,47.473580,0.0086,0.0086
europa,2460513.763253732,A.D. 2024-07-22 06:19:05.12 TDB,2460513.866275189,A.D. 2024-07-22 08:47:26.18 TDB,148.3509,2460513.814764460,5.66974966,47.153870,0.0086,0.0086
europa,2460517.316872328,A.D. 2024-07-25 19:36:17.77 TDB,2460517.419969106,A.D. 2024-07-25 22:04:45.33 TDB,148.4594,2460517.368420717,5.62953309,46.819399,0.0086,0.0086
europa,2460520.870576368,A.D. 2024-07-29 08:53:37.80 TDB,2460520.973785965,A.D. 2024-07-29 11:22:15.11 TDB,148.6218,2460520.922181167,5.58759942,46.470647,0.0086,0.0086
europa,2460524.424399478,A.D. 2024-08-01 22:11:08.11 TDB,2460524.527687600,A.D. 2024-08-02 00:39:52.21 TDB,148.7349,2460524.476043539,5.54402832,46.108278,0.0086,0.0086
europa,2460527.978122258,A.D. 2024-08-05 11:28:29.76 TDB,2460528.081507383,A.D. 2024-08-05 13:57:22.24 TDB,148.8746,2460528.029814821,5.49891096,45.733048,0.0086,0.0086
europa,2460531.531766846,A.D. 2024-08-09 00:45:44.66 TDB,2460531.635225839,A.D. 2024-08-09 03:14:43.51 TDB,148.9809,2460531.583496342,5.45235798,45.345879,0.0086,0.0086
europa,2460535.085371986,A.D. 2024-08-12 14:02:56.14 TDB,2460535.188949737,A.D. 2024-08-12 16:32:05.26 TDB,149.1520,2460535.137160861,5.40447926,44.947683,0.0086,0.0086
europa,2460538.639143668,A.D. 2024-08-16 03:20:22.01 TDB,2460538.742816303,A.D. 2024-08-16 05:49:39.33 TDB,149.2886,2460538.690979986,5.35539542,44.539466,0.0086,0.0086
europa,2460542.192929120,A.D. 2024-08-19 16:37:49.08 TDB,2460542.296716899,A.D. 2024-08-19 19:07:16.34 TDB,149.4544,2460542.244823010,5.30522188,44.122185,0.0086,0.0086
europa,2460545.746674807,A.D. 2024-08-23 05:55:12.70 TDB,2460545.850541802,A.D. 2024-08-23 08:24:46.81 TDB,149.5685,2460545.798608304,5.25407291,43.696792,0.0086,0.0086
europa,2460549.300264833,A.D. 2024-08-26 19:12:22.88 TDB,2460549.404250169,A.D. 2024-08-26 21:42:07.21 TDB,149.7389,2460549.352257500,5.20205339,43.264159,0.0086,0.0086
europa,2460552.853986398,A.D. 2024-08-30 08:29:44.42 TDB,2460552.958075942,A.D. 2024-08-30 10:59:37.76 TDB,149.8889,2460552.906031170,5.14928842,42.825326,0.0086,0.0086
europa,2460556.407747904,A.D. 2024-09-02 21:47:09.42 TDB,2460556.511971227,A.D. 2024-09-03 00:17:14.31 TDB,150.0816,2460556.459859566,5.09592118,42.381484,0.0086,0.0086
europa,2460559.961639267,A.D. 2024-09-06 11:04:45.63 TDB,2460560.065955529,A.D. 2024-09-06 13:34:58.56 TDB,150.2154,2460560.013797398,5.04211476,41.933990,0.0086,0.0086
europa,2460563.515294761,A.D. 2024-09-10 00:22:01.47 TDB,2460563.619734137,A.D. 2024-09-10 02:52:25.03 TDB,150.3927,2460563.567514449,4.98803643,41.484234,0.0086,0.0086
europa,2460567.069042495,A.D. 2024-09-13 13:39:25.27 TDB,2460567.173583088,A.D. 2024-09-13 16:09:57.58 TDB,150.5385,2460567.121312791,4.93385414,41.033614,0.0086,0.0086
europa,2460570.622734349,A.D. 2024-09-17 02:56:44.25 TDB,2460570.727426128,A.D. 2024-09-17 05:27:29.62 TDB,150.7562,2460570.675080238,4.87973434,40.583513,0.0086,0.0086
europa,2460574.176713739,A.D. 2024-09-20 16:14:28.07 TDB,2460574.281511317,A.D. 2024-09-20 18:45:22.58 TDB,150.9085,2460574.229112528,4.82583805,40.135271,0.0086,0.0086
europa,2460577.730507721,A.D. 2024-09-24 05:31:55.87 TDB,2460577.835444164,A.D. 2024-09-24 08:03:02.38 TDB,151.1085,2460577.782975942,4.77233281,39.690282,0.0086,0.0086
europa,2460581.284351822,A.D. 2024-09-27 18:49:28.00 TDB,2460581.389384541,A.D. 2024-09-27 21:20:42.82 TDB,151.2471,2460581.336868181,4.71940008,39.250054,0.0086,0.0086
europa,2460584.838046324,A.D. 2024-10-01 08:06:47.20 TDB,2460584.943236586,A.D. 2024-10-01 10:38:15.64 TDB,151.4740,2460584.890641455,4.66724076,38.816258,0.0086,0.0086
europa,2460588.392009204,A.D. 2024-10-04 21:24:29.60 TDB,2460588.497316864,A.D. 2024-10-04 23:56:08.18 TDB,151.6430,2460588.444663034,4.61606486,38.390641,0.0086,0.0086
europa,2460591.945943645,A.D. 2024-10-08 10:42:09.53 TDB,2460592.051408955,A.D. 2024-10-08 13:14:01.73 TDB,151.8700,2460591.998676300,4.56609168,37.975027,0.0086,0.0086
europa,2460595.499939773,A.D. 2024-10-11 23:59:54.80 TDB,2460595.605505291,A.D. 2024-10-12 02:31:55.66 TDB,152.0143,2460595.552722532,4.51753732,37.571212,0.0086,0.0086
europa,2460599.053725805,A.D. 2024-10-15 13:17:21.91 TDB,2460599.159447918,A.D. 2024-10-15 15:49:36.30 TDB,152.2398,2460599.106586861,4.47060899,37.180921,0.0086,0.0086
europa,2460602.607680748,A.D. 2024-10-19 02:35:03.62 TDB,2460602.713523956,A.D. 2024-10-19 05:07:28.47 TDB,152.4142,2460602.660602353,4.42550046,36.805765,0.0086,0.0086
europa,2460606.161659645,A.D. 2024-10-22 15:52:47.39 TDB,2460606.267676598,A.D. 2024-10-22 18:25:27.26 TDB,152.6644,2460606.214668122,4.38240951,36.447388,0.0086,0.0086
europa,2460609.715822722,A.D. 2024-10-26 05:10:47.08 TDB,2460609.821951277,A.D. 2024-10-26 07:43:36.59 TDB,152.8251,2460609.768886999,4.34154928,36.107564,0.0086,0.0086
europa,2460613.269773870,A.D. 2024-10-29 18:28:28.46 TDB,2460613.376062316,A.D. 2024-10-29 21:01:31.78 TDB,153.0554,2460613.322918093,4.30314203,35.788141,0.0086,0.0086
europa,2460616.823787260,A.D. 2024-11-02 07:46:15.22 TDB,2460616.930190092,A.D. 2024-11-02 10:19:28.42 TDB,153.2201,2460616.876988676,4.26740368,35.490914,0.0086,0.0086
europa,2460620.377780399,A.D. 2024-11-05 21:04:00.23 TDB,2460620.484367829,A.D. 2024-11-05 23:37:29.38 TDB,153.4859,2460620.431074114,4.23454260,35.217617,0.0086,0.0086
europa,2460623.932020588,A.D. 2024-11-09 10:22:06.58 TDB,2460624.038729267,A.D. 2024-11-09 12:55:46.21 TDB,153.6605,2460623.985374928,4.20475139,34.969851,0.0086,0.0086
europa,2460627.486187391,A.D. 2024-11-12 23:40:06.59 TDB,2460627.593067258,A.D. 2024-11-13 02:14:01.01 TDB,153.9070,2460627.539627324,4.17820189,34.749046,0.0086,0.0086
europa,2460631.040319148,A.D. 2024-11-16 12:58:03.57 TDB,2460631.147307561,A.D. 2024-11-16 15:32:07.37 TDB,154.0633,2460631.093813355,4.15503970,34.556411,0.0086,0.0086
europa,2460634.594392945,A.D. 2024-11-20 02:15:55.55 TDB,2460634.701563006,A.D. 2024-11-20 04:50:15.04 TDB,154.3249,2460634.647977975,4.13539898,34.393065,0.0086,0.0086
europa,2460638.148612706,A.D. 2024-11-23 15:34:00.14 TDB,2460638.255912648,A.D. 2024-11-23 18:08:30.85 TDB,154.5119,2460638.202262677,4.11941448,34.260126,0.0086,0.0086
europa,2460641.702958787,A.D. 2024-11-27 04:52:15.64 TDB,2460641.810439580,A.D. 2024-11-27 07:27:01.98 TDB,154.7723,2460641.756699183,4.10721147,34.158636,0.0086,0.0086
europa,2460645.257251021,A.D. 2024-11-30 18:10:26.49 TDB,2460645.364844283,A.D. 2024-11-30 20:45:22.55 TDB,154.9343,2460645.311047652,4.09889324,34.089456,0.0086,0.0086
europa,2460648.811478007,A.D. 2024-12-04 07:28:31.70 TDB,2460648.919243344,A.D. 2024-12-04 10:03:42.62 TDB,155.1821,2460648.865360675,4.09453203,34.053184,0.0086,0.0086
europa,2460652.365695515,A.D. 2024-12-07 20:46:36.09 TDB,2460652.473589719,A.D. 2024-12-07 23:21:58.15 TDB,155.3677,2460652.419642617,4.09416690,34.050148,0.0086,0.0086
europa,2460655.920104931,A.D. 2024-12-11 10:04:57.07 TDB,2460656.028186002,A.D. 2024-12-11 12:40:35.27 TDB,155.6367,2460655.974145466,4.09780169,34.080377,0.0086,0.0086
europa,2460659.474545209,A.D. 2024-12-14 23:23:20.71 TDB,2460659.582747594,A.D. 2024-12-15 01:59:09.39 TDB,155.8114,2460659.528646402,4.10541088,34.143661,0.0086,0.0086
europa,2460663.028977023,A.D. 2024-12-18 12:41:43.61 TDB,2460663.137346795,A.D. 2024-12-18 15:17:46.76 TDB,156.0525,2460663.083161909,4.11695221,34.239647,0.0086,0.0086
europa,2460666.583251044,A.D. 2024-12-22 01:59:52.89 TDB,2460666.691739807,A.D. 2024-12-22 04:36:06.32 TDB,156.2238,2460666.637495426,4.13237265,34.367895,0.0086,0.0086
europa,2460670.137697133,A.D. 2024-12-25 15:18:17.03 TDB,2460670.246371041,A.D. 2024-12-25 17:54:46.46 TDB,156.4904,2460670.192034087,4.15160492,34.527845,0.0086,0.0086
europa,2460673.692170131,A.D. 2024-12-29 04:36:43.50 TDB,2460673.800971762,A.D. 2024-12-29 07:13:23.96 TDB,156.6743,2460673.746570947,4.17455496,34.718715,0.0086,0.0086
europa,2460677.246820287,A.D. 2025-01-01 17:55:25.27 TDB,2460677.355790832,A.D. 2025-01-01 20:32:20.33 TDB,156.9176,2460677.301305559,4.20110338,34.939511,0.0086,0.0086
europa,2460680.801202441,A.D. 2025-01-05 07:13:43.89 TDB,2460680.910285229,A.D. 2025-01-05 09:50:48.64 TDB,157.0792,2460680.855743835,4.23109234,35.188922,0.0086,0.0086
europa,2460684.355731299,A.D. 2025-01-08 20:32:15.18 TDB,2460684.464983694,A.D. 2025-01-08 23:09:34.59 TDB,157.3234,2460684.410357496,4.26434512,35.465477,0.0086,0.0086
europa,2460687.910155675,A.D. 2025-01-12 09:50:37.45 TDB,2460688.019540637,A.D. 2025-01-12 12:28:08.31 TDB,157.5143,2460687.964848156,4.30066662,35.767554,0.0086,0.0086
europa,2460691.464939834,A.D. 2025-01-15 23:09:30.80 TDB,2460691.574491387,A.D. 2025-01-16 01:47:16.06 TDB,157.7542,2460691.519715610,4.33987272,36.093621,0.0086,0.0086
europa,2460695.019460462,A.D. 2025-01-19 12:28:01.38 TDB,2460695.129127385,A.D. 2025-01-19 15:05:56.61 TDB,157.9204,2460695.074293924,4.38176773,36.442051,0.0086,0.0086
europa,2460698.574120164,A.D. 2025-01-23 01:46:43.98 TDB,2460698.683937258,A.D. 2025-01-23 04:24:52.18 TDB,158.1366,2460698.629028711,4.42616117,36.811260,0.0086,0.0086
europa,2460702.128522445,A.D. 2025-01-26 15:05:04.34 TDB,2460702.238465989,A.D. 2025-01-26 17:43:23.46 TDB,158.3187,2460702.183494217,4.47284166,37.199490,0.0086,0.0086
europa,2460705.683309813,A.D. 2025-01-30 04:23:57.97 TDB,2460705.793415104,A.D. 2025-01-30 07:02:31.06 TDB,158.5516,2460705.738362459,4.52160183,37.605016,0.0086,0.0086
europa,2460709.237929350,A.D. 2025-02-02 17:42:37.10 TDB,2460709.348155277,A.D. 2025-02-02 20:21:20.62 TDB,158.7253,2460709.293042313,4.57220370,38.025859,0.0086,0.0086
europa,2460712.792748834,A.D. 2025-02-06 07:01:33.50 TDB,2460712.903112361,A.D. 2025-02-06 09:40:28.91 TDB,158.9235,2460712.847930598,4.62441397,38.460078,0.0086,0.0086
europa,2460716.347181416,A.D. 2025-02-09 20:19:56.47 TDB,2460716.457658648,A.D. 2025-02-09 22:59:01.71 TDB,159.0872,2460716.402420032,4.67799215,38.905674,0.0086,0.0086
europa,2460719.901949306,A.D. 2025-02-13 09:38:48.42 TDB,2460720.012574692,A.D. 2025-02-13 12:18:06.45 TDB,159.3006,2460719.957261999,4.73273638,39.360968,0.0086,0.0086
europa,2460723.456536492,A.D. 2025-02-16 22:57:24.75 TDB,2460723.567285698,A.D. 2025-02-17 01:36:53.48 TDB,159.4789,2460723.511911095,4.78843871,39.824230,0.0086,0.0086
europa,2460727.011495494,A.D. 2025-02-20 12:16:33.21 TDB,2460727.122375061,A.D. 2025-02-20 14:56:13.21 TDB,159.6666,2460727.066935278,4.84491305,40.293913,0.0086,0.0086
europa,2460730.566004009,A.D. 2025-02-24 01:35:02.75 TDB,2460730.676989748,A.D. 2025-02-24 04:14:51.91 TDB,159.8195,2460730.621496879,4.90194826,40.768261,0.0086,0.0086
europa,2460734.120783519,A.D. 2025-02-27 14:53:55.70 TDB,2460734.231892285,A.D. 2025-02-27 17:33:55.49 TDB,159.9966,2460734.176337902,4.95935537,41.245701,0.0086,0.0086
europa,2460737.675278558,A.D. 2025-03-03 04:12:24.07 TDB,2460737.786511509,A.D. 2025-03-03 06:52:34.59 TDB,160.1754,2460737.730895034,5.01691995,41.724451,0.0086,0.0086
europa,2460741.230254109,A.D. 2025-03-06 17:31:33.96 TDB,2460741.341606377,A.D. 2025-03-06 20:11:54.79 TDB,160.3473,2460741.285930243,5.07445338,42.202942,0.0086,0.0086
europa,2460744.784856844,A.D. 2025-03-10 06:50:11.63 TDB,2460744.896316622,A.D. 2025-03-10 09:30:41.76 TDB,160.5021,2460744.840586733,5.13175916,42.679539,0.0086,0.0086
europa,2460748.339679417,A.D. 2025-03-13 20:09:08.30 TDB,2460748.451237252,A.D. 2025-03-13 22:49:46.90 TDB,160.6433,2460748.395458335,5.18868363,43.152966,0.0086,0.0086
europa,2460751.894115689,A.D. 2025-03-17 09:27:31.60 TDB,2460752.005786353,A.D. 2025-03-17 12:08:19.94 TDB,160.8058,2460751.949951021,5.24506711,43.621893,0.0086,0.0086
europa,2460755.448981222,A.D. 2025-03-20 22:46:31.98 TDB,2460755.560759848,A.D. 2025-03-21 01:27:29.65 TDB,160.9612,2460755.504870535,5.30077918,44.085236,0.0086,0.0086
