moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
io,2459606.730311580,A.D. 2022-01-27 05:31:38.92 TDB,2459606.825198618,A.D. 2022-01-27 07:48:17.16 TDB,136.6373,2459606.777755099,5.82955618,48.482940,0.0086,0.0086
io,2459608.500173751,A.D. 2022-01-29 00:00:15.01 TDB,2459608.595056706,A.D. 2022-01-29 02:16:52.90 TDB,136.6315,2459608.547615229,5.84270655,48.592309,0.0086,0.0086
io,2459610.270137573,A.D. 2022-01-30 18:28:59.89 TDB,2459610.365025770,A.D. 2022-01-30 20:45:38.23 TDB,136.6390,2459610.317581671,5.85526055,48.696717,0.0086,0.0086
io,2459612.040118665,A.D. 2022-02-01 12:57:46.25 TDB,2459612.134997595,A.D. 2022-02-01 15:14:23.79 TDB,136.6257,2459612.087558130,5.86721088,48.796105,0.0086,0.0086
io,2459613.810055490,A.D. 2022-02-03 07:26:28.79 TDB,2459613.904926675,A.D. 2022-02-03 09:43:05.66 TDB,136.6145,2459613.857491083,5.87854931,48.890404,0.0086,0.0086
io,2459615.579968047,A.D. 2022-02-05 01:55:09.24 TDB,2459615.674837375,A.D. 2022-02-05 04:11:45.95 TDB,136.6118,2459615.627402711,5.88926990,48.979564,0.0086,0.0086
io,2459617.350017694,A.D. 2022-02-06 20:24:01.53 TDB,2459617.444892391,A.D. 2022-02-06 22:40:38.70 TDB,136.6196,2459617.397455042,5.89937039,49.063567,0.0086,0.0086
io,2459619.120091872,A.D. 2022-02-08 14:52:55.94 TDB,2459619.214955571,A.D. 2022-02-08 17:09:32.16 TDB,136.6037,2459619.167523721,5.90884840,49.142394,0.0086,0.0086
io,2459620.890088636,A.D. 2022-02-10 09:21:43.66 TDB,2459620.984939257,A.D. 2022-02-10 11:38:18.75 TDB,136.5849,2459620.937513947,5.91769980,49.216009,0.0086,0.0086
io,2459622.659995166,A.D. 2022-02-12 03:50:23.58 TDB,2459622.754838597,A.D. 2022-02-12 06:06:58.05 TDB,136.5745,2459622.707416881,5.92592124,49.284384,0.0086,0.0086
