moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
ganymede,2457826.169390700,A.D. 2017-03-13 16:03:55.36 TDB,2457826.278105339,A.D. 2017-03-13 18:40:28.30 TDB,156.5491,2457826.223748019,4.56592179,37.973614,0.0086,0.0086
ganymede,2457833.334744663,A.D. 2017-03-20 20:02:01.94 TDB,2457833.442798073,A.D. 2017-03-20 22:37:37.75 TDB,155.5969,2457833.388771368,4.51745408,37.570520,0.0086,0.0086
ganymede,2457840.500148693,A.D. 2017-03-28 00:00:12.85 TDB,2457840.607595888,A.D. 2017-03-28 02:34:56.28 TDB,154.7240,2457840.553872291,4.48371611,37.289930,0.0086,0.0086
ganymede,2457847.665960363,A.D. 2017-04-04 03:58:58.98 TDB,2457847.772756124,A.D. 2017-04-04 06:32:46.13 TDB,153.7859,2457847.719358244,4.46546842,37.138168,0.0086,0.0086
ganymede,2457854.831989747,A.D. 2017-04-11 07:58:03.91 TDB,2457854.938165063,A.D. 2017-04-11 10:30:57.46 TDB,152.8925,2457854.885077405,4.46296036,37.117310,0.0086,0.0086
ganymede,2457861.997986288,A.D. 2017-04-18 11:57:06.02 TDB,2457862.103537318,A.D. 2017-04-18 14:29:05.62 TDB,151.9935,2457862.050761803,4.47607350,37.226368,0.0086,0.0086
ganymede,2457869.163805280,A.D. 2017-04-25 15:55:52.78 TDB,2457869.268713108,A.D. 2017-04-25 18:26:56.81 TDB,151.0673,2457869.216259194,4.50446437,37.462488,0.0086,0.0086
ganymede,2457876.329415851,A.D. 2017-05-02 19:54:21.53 TDB,2457876.433725696,A.D. 2017-05-02 22:24:33.90 TDB,150.2062,2457876.381570773,4.54745053,37.819993,0.0086,0.0086
ganymede,2457883.494857131,A.D. 2017-05-09 23:52:35.66 TDB,2457883.598518535,A.D. 2017-05-10 02:21:52.00 TDB,149.2724,2457883.546687833,4.60390770,38.289533,0.0086,0.0086
ganymede,2457890.660353488,A.D. 2017-05-17 03:50:54.54 TDB,2457890.763423450,A.D. 2017-05-17 06:19:19.79 TDB,148.4207,2457890.711888469,4.67253236,38.860267,0.0086,0.0086
